hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040301_015675_041_11,015675,041,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,10.0,1,4.0,0,"planchas de calamina, fibra de cemento o similares",0,3,56.0,0,"propia, totalmente pagada",1,1,2,casa independiente,ladrillo o bloque de cemento,1,1
040301_015675_067_11,015675,067,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,6.0,1,5.0,2,concreto armado,0,2,83.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040301_015675_081_11,015675,081,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,4.0,1,3.0,0,concreto armado,0,2,75.0,0,cedida por otro hogar o institucion,0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040301_015675_094_11,015675,094,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,6.0,1,3.0,0,concreto armado,0,2,55.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040301_015675_109_11,015675,109,11,040301,04,0403,040301,costa sur,de 2 000 a 19 999 habitantes,urbana,0,317.91534,0,8.0,1,4.0,1,concreto armado,0,2,69.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040128_015716_005_11,015716,005,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,6.0,1,3.0,3,concreto armado,1,3,44.0,0,"propia, totalmente pagada",1,0,3,casa independiente,ladrillo o bloque de cemento,1,1
040128_015716_016_11,015716,016,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,4.0,1,3.0,0,concreto armado,0,3,53.0,0,"propia, totalmente pagada",1,0,1,casa independiente,ladrillo o bloque de cemento,1,1
040128_015716_026_11,015716,026,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,10.0,1,2.0,1,concreto armado,0,1,26.0,0,cedida por otro hogar o institucion,0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040128_015716_048_11,015716,048,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,3.0,1,2.0,0,concreto armado,0,1,63.0,0,cedida por otro hogar o institucion,0,1,1,casa independiente,ladrillo o bloque de cemento,1,0
040128_015716_058_11,015716,058,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,6.0,1,2.0,2,concreto armado,0,3,46.0,0,"propia, totalmente pagada",0,1,2,"vivienda en casa de vecindad (callejon, solar o corralon)",ladrillo o bloque de cemento,1,0
040128_015716_069_11,015716,069,11,040128,04,0401,040128,sierra sur, de 20 000 a 49 999 habitantes,urbana,0,286.62036,0,5.0,1,3.0,0,"planchas de calamina, fibra de cemento o similares",0,1,64.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040115_015730_008_11,015730,008,11,040115,04,0401,040115,sierra sur,de 2 000 a 19 999 habitantes,urbana,0,286.62036,0,10.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,1,56.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,0,0
040115_015730_041_11,015730,041,11,040115,04,0401,040115,sierra sur,de 2 000 a 19 999 habitantes,urbana,0,286.62036,1,6.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,2,26.0,0,"propia, por invasion",1,1,0,casa independiente,ladrillo o bloque de cemento,0,1
