variable,target_pobreza_bin,count,mean,median,std,min,max
agua_segura_proxy,1,207,0.5748792270531401,1.0,0.4955597599022252,0.0,1.0
acceso_desague_red,0,1310,0.7236641221374046,1.0,0.4473557077644962,0.0,1.0
acceso_desague_red,1,207,0.5507246376811594,1.0,0.49862622587254873,0.0,1.0
saneamiento_inadecuado,0,1310,0.10152671755725191,0.0,0.3021402476204567,0.0,1.0
saneamiento_inadecuado,1,207,0.10144927536231885,0.0,0.3026546400641909,0.0,1.0
acceso_electricidad,0,1310,0.9541984732824428,1.0,0.20913424873292205,0.0,1.0
acceso_electricidad,1,207,0.9082125603864735,1.0,0.2894255999384355,0.0,1.0
combustible_limpio,0,1310,0.8938931297709923,1.0,0.30809196815064277,0.0,1.0
combustible_limpio,1,207,0.6135265700483091,1.0,0.48812165046208394,0.0,1.0
combustible_precario,0,1310,0.0916030534351145,0.0,0.2885749523483135,0.0,1.0
combustible_precario,1,207,0.33816425120772947,0.0,0.47423163411300373,0.0,1.0
internet_hogar,0,1310,0.9312977099236641,1.0,0.25304379890816214,0.0,1.0
internet_hogar,1,207,0.782608695652174,1.0,0.4134709303146724,0.0,1.0
area_rural_bin,0,1310,0.12061068702290076,0.0,0.3257986736393121,0.0,1.0
area_rural_bin,1,207,0.2028985507246377,0.0,0.40313252097034896,0.0,1.0
children_not_enrolled,0,1310,0.04198473282442748,0.0,0.20063086083227905,0.0,1.0
children_not_enrolled,1,207,0.07246376811594203,0.0,0.2598827543546802,0.0,1.0
children_not_attending,0,1310,0.04122137404580153,0.0,0.19887776399745002,0.0,1.0
children_not_attending,1,207,0.04830917874396135,0.0,0.21493855763012468,0.0,1.0
